Day,Open,High,Low,Close,Adj Close,Volume
1,76,77.25,70,70.375,55.137371,22320900
2,69.875,69.875,66.25,69.125,54.158012,7565700
3,68,69.375,67.0625,67.9375,53.227631,2905700
4,67.9375,74.875,66.75,74.125,58.07542,4862300
5,73.375,73.5,70.25,70.6875,55.382202,2589400
6,70,71.1875,69.5,70.625,55.333241,1839800
7,71,74.875,69.125,73.5,57.585739,2659300
8,73.25,75.25,72.5,73.1875,57.340904,1142900
9,71.25,72.25,69.0625,70.1875,54.990456,2058400
10,69.125,70.25,68,68.625,53.766285,2075000
11,68.25,70.4375,68.125,68.625,53.766285,1407100
12,69.375,69.8125,68.75,69.3125,54.304905,727400
13,69.5625,70.125,68.375,68.375,53.570412,520800
14,68.125,68.8125,67.5,67.5,52.884861,936200
15,67,67.25,65,65.3125,51.171005,1493000
16,64.125,65.9375,64,64.5,50.534428,1662400
17,65.625,66.625,63.0625,66.0625,51.758621,1602900
18,65,67.75,64.6875,67.75,53.08073,1220500
19,67.75,68.8125,67,67.9375,53.227631,901900
20,66.625,66.625,63.5625,64.1875,50.289608,953900
21,63.75,64.0625,62,63.25,49.555088,2204300
22,64,64.1875,63.125,63.625,49.848869,852600
23,64.3125,67,64.3125,65.375,51.219978,1357400
24,65.1875,67.75,65.1875,65.9375,51.66069,891900
25,65.375,65.6875,63.75,63.75,49.946808,571700
26,64.25,65.5,63.625,65.5,51.317905,611400
27,64.875,64.9375,63.3125,63.375,49.653019,664200
28,63.9375,64.3125,62.3125,63.25,49.555088,969300
29,63.5,64,60.5,61.25,47.988129,821100
30,62.875,63.375,62.25,62.75,49.163326,831700
31,63.9375,65.4375,63.9375,65.25,51.122036,690300
32,64.5,66.875,64.5,65,50.926155,955700
33,64.25,64.875,63.5,64.8125,50.779274,613900
34,66.6875,69.9375,66.5625,69.5,54.451801,1811000
35,70.125,70.125,67.75,68,53.276592,1165900
36,67.0625,67.4375,64.875,65,50.926155,1351700
37,66.0625,66.5,64.5,65.0625,50.975117,1408900
38,65.5,66.8125,65.375,66.25,51.905514,1111500
39,66.4375,67.5,65.75,66.5625,52.150368,784600
40,66,68.5,66,67.75,53.08073,629800
41,68.5,72.25,66.125,72.25,56.606388,2127600
42,71.375,71.4375,69.75,70.8125,55.48011,813600
43,70.5625,71.1875,69.6875,70.9375,55.578079,536900
44,70,71.1875,69.25,70.5,55.235313,747600
45,69.5625,70,68,68,53.276592,648800
46,68,68.875,67.1875,67.25,52.689007,424400
47,67.4375,68.1875,67.25,67.25,52.689007,312700
48,68,68.9375,67.875,68.375,53.570412,547700
49,68.25,68.6875,67.625,67.875,53.178688,969600
50,67.375,67.75,67.3125,67.625,52.982796,888200
51,68,68,67.5,67.9375,53.227631,864700
52,67.75,68.75,67.75,68.0625,53.325573,476700
53,68.25,70.75,68.25,69.4375,54.402855,646100
54,69.125,70.4375,67.875,68.125,53.374542,886100
55,68,68.0625,67.125,67.875,53.178688,626100
56,68.125,68.25,66.5,66.5,52.101395,579500
57,66.375,66.375,64,64.0625,50.191658,767200
58,64.25,64.75,63.1875,63.25,49.555088,749500
59,64.25,65.75,63.3125,65.5,51.317905,592200
60,65.25,66.375,64,66.0625,51.758621,584800
61,65.5,65.5,64.5,65,50.926155,646000
62,65,65,63.625,64.3125,50.387535,629600
63,64.25,64.5625,62.375,62.8125,49.212303,566400
64,62.8125,62.8125,60.75,60.8125,47.645348,837700
65,60.5625,61.5,60,60,47.008762,1281600
66,59.8125,60,57.8125,59.25,46.42115,1539900
67,58.9375,58.9375,56,56.25,44.070732,1308500
68,56.5,57.5,55.8125,55.8125,43.727951,1347500
69,56.25,57.1875,55.1875,57,44.754559,1817400
70,57.875,61.5625,57.4375,61.5,48.287819,1369200
71,61.4375,62.1875,60.5625,60.6875,47.649857,832800
72,62.4375,63.25,62.0625,63.125,49.563713,557400
73,63,63,60.875,62.875,49.36742,762600
74,63.25,64.5,62.625,63,49.465557,936900
75,63,63,61.0625,62.3125,48.925762,819300
76,61.625,62.5,60.8125,61.5625,48.336876,624600
77,61.8125,62.9375,61.625,62.3125,48.925762,439600
78,62.8125,63.8125,62.625,63.625,49.95628,837200
79,63.5625,65,62.8125,63.4375,49.809063,894200
80,63.125,64.3125,62.3125,64,50.250725,449900
81,64,64.875,62.75,62.75,49.269253,378400
82,63,63,61.5,61.5625,48.336876,265300
83,61.75,61.75,59.3125,59.3125,46.570255,438100
84,59.5,60.5,58.6875,59.8125,46.962841,496600
85,60.5625,60.6875,59.8125,60.3125,47.355427,560100
